"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","GGEXP","TOT","PC_GDP","A","2018",41.7567697005925,
"SVK","GGEXP","TOT","PC_GDP","A","2019",42.6605732413351,
"ESP","GGEXP","TOT","PC_GDP","A","2016",42.4417331034978,
"ESP","GGEXP","TOT","PC_GDP","A","2017",41.1982610746325,
"ESP","GGEXP","TOT","PC_GDP","A","2018",41.6892788668109,
"ESP","GGEXP","TOT","PC_GDP","A","2019",42.064570567554,
"SWE","GGEXP","TOT","PC_GDP","A","2016",49.7326745837119,
"SWE","GGEXP","TOT","PC_GDP","A","2017",49.245658574723,
"SWE","GGEXP","TOT","PC_GDP","A","2018",49.8337512162651,
"SWE","GGEXP","TOT","PC_GDP","A","2019",49.0564931730493,
"CHE","GGEXP","TOT","PC_GDP","A","2016",33.2975493513945,
"CHE","GGEXP","TOT","PC_GDP","A","2017",33.2611062359727,
"CHE","GGEXP","TOT","PC_GDP","A","2018",32.5646615636727,
"CHE","GGEXP","TOT","PC_GDP","A","2019",32.7032134173148,
"GBR","GGEXP","TOT","PC_GDP","A","2016",41.0808980094593,
"GBR","GGEXP","TOT","PC_GDP","A","2017",40.7001334672934,
"GBR","GGEXP","TOT","PC_GDP","A","2018",40.4429308584516,
"GBR","GGEXP","TOT","PC_GDP","A","2019",40.3271784516622,
"USA","GGEXP","TOT","PC_GDP","A","2016",38.3122237980357,
"USA","GGEXP","TOT","PC_GDP","A","2017",38.1093502168907,
"USA","GGEXP","TOT","PC_GDP","A","2018",37.9707427608467,
"USA","GGEXP","TOT","PC_GDP","A","2019",38.2510943226233,
"EST","GGEXP","TOT","PC_GDP","A","2016",39.3973493489476,
"EST","GGEXP","TOT","PC_GDP","A","2017",39.2256912573025,
"EST","GGEXP","TOT","PC_GDP","A","2018",39.4679205135595,
"EST","GGEXP","TOT","PC_GDP","A","2019",39.4655464899302,
"ISR","GGEXP","TOT","PC_GDP","A","2016",38.6605586390753,
"ISR","GGEXP","TOT","PC_GDP","A","2017",39.260681802232,
"ISR","GGEXP","TOT","PC_GDP","A","2018",40.0582820756083,
"ISR","GGEXP","TOT","PC_GDP","A","2019",39.6003288316135,
"SVN","GGEXP","TOT","PC_GDP","A","2016",46.1626979552528,
"SVN","GGEXP","TOT","PC_GDP","A","2017",44.0720757870639,
"SVN","GGEXP","TOT","PC_GDP","A","2018",43.5263207128888,
"SVN","GGEXP","TOT","PC_GDP","A","2019",43.2937122431212,
"AUS","GGEXP","TOT","PC_GDP","A","2016",38.5217981911868,
"AUS","GGEXP","TOT","PC_GDP","A","2017",38.5482754143766,
"AUS","GGEXP","TOT","PC_GDP","A","2018",38.5183952311695,
"AUS","GGEXP","TOT","PC_GDP","A","2019",43.7055198903214,
"LVA","GGEXP","TOT","PC_GDP","A","2016",37.3780849807384,
"LVA","GGEXP","TOT","PC_GDP","A","2017",38.718077929883,
"LVA","GGEXP","TOT","PC_GDP","A","2018",39.3617728366084,
"LVA","GGEXP","TOT","PC_GDP","A","2019",38.4489787921727,
"COL","GGEXP","TOT","PC_GDP","A","2016",31.0545947935938,
"COL","GGEXP","TOT","PC_GDP","A","2017",31.5173427516999,
"COL","GGEXP","TOT","PC_GDP","A","2018",30.9872939341447,
"COL","GGEXP","TOT","PC_GDP","A","2019",31.5618895477956,
"CRI","GGEXP","TOT","PC_GDP","A","2016",32.3775161720038,
"CRI","GGEXP","TOT","PC_GDP","A","2017",32.6607943748032,
"LTU","GGEXP","TOT","PC_GDP","A","2016",34.1850271292417,
"LTU","GGEXP","TOT","PC_GDP","A","2017",33.1637605758665,
"LTU","GGEXP","TOT","PC_GDP","A","2018",33.8213262549124,
"LTU","GGEXP","TOT","PC_GDP","A","2019",34.5856422760443,
"CHL","GGEXP","TOT","PC_GDP","A","2016",25.4325359729516,
"CHL","GGEXP","TOT","PC_GDP","A","2017",25.6314654521775,
"CHL","GGEXP","TOT","PC_GDP","A","2018",25.4924109955299,
"CHL","GGEXP","TOT","PC_GDP","A","2019",26.4118378546042,
