Country,Year,Population (Million),Continent,GDP (Millions $),GDP (Billions $),GDP per capita ($),Public spending (%GDP),Area (km2),Tax rate (% GDP),Public debt (% GDP),IDH,life_expectancy,political_system,immigration_rate ,education_spending,defense_spending,unemployment_rate
LTU,2019,2.794135,Europe,108428.666,108.428666,38805.8078797195,34.5856422760443,62680,30.337,44.54394,0.882,,Republic,,,,
SAU,2019,34.218169,Middle East,1677381.92,1677.38192,49020.2126244686,,2149690,,,0.854,,Monarchy,,,,
ARG,2019,44.938712,America,1033454.909,1033.454909,22996.9855166298,,2736690,,,0.845,,Republic,,,,
CRI,2019,5.05800714721902,America,109998.851,109.998851,21747.4684788611,,51060,,56.84,0.81,,Republic,,,,
BGR,2019,6.9757605,Europe,171459.528,171.459528,24579.3312428086,,110630,,,0.816,,Republic,,,,
HRV,2019,4.065253,Europe,122956.837,122.956837,30245.8019217992,,55910,,,0.851,,Republic,,,,
CYP,2019,0.881949,Europe,37801.636,37.801636,42861.4761170998,,9240,,,0.887,,Republic,,,,
MLT,2019,0.504059,Europe,24363.319,24.363319,48334.2604734763,,320,,,0.895,,Republic,,,,
ROU,2019,19.375835,Europe,626169.761,626.169761,32317.046516963,,229710,,44.36,0.828,,Republic,,,,
MKD ,2019,,Europe,36634.491,36.634491,,,25430,,,0.774,,Republic,,,,
BRA,2019,210.147125,America,,1960.7564,,,8358140,,,0.765,,Republic,,,,
SGP,2019,5.704,Asia,,374.9764,,,670,,,0.938,,Republic,,,,
DZA,2019,,Africa,,,,,,,,,,,,,,
EGY,2019,,Africa,,,,,,,,,,Republic,,,,
HKG,2019,,Asia,,,,,,,,,,Republic,,,,
IND,2019,,Asia,,,,,,,,,,Republic,,,,
KAZ,2019,,Asia,,,,,,,,,,Republic,,,,
LIB,2019,,Asia,,,,,,,,,,Republic,,,,
MAR,2019,,Africa,,,,,,,,,,,,,,
