"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","GGDEBT","TOT","PC_GDP","A","2019",46.73798,
"NOR","GGDEBT","TOT","PC_GDP","A","2020",53.39824,
"POL","GGDEBT","TOT","PC_GDP","A","2016",73.00561,
"POL","GGDEBT","TOT","PC_GDP","A","2017",68.7151,
"POL","GGDEBT","TOT","PC_GDP","A","2018",66.75915,
"POL","GGDEBT","TOT","PC_GDP","A","2019",63.31544,
"POL","GGDEBT","TOT","PC_GDP","A","2020",77.15408,
"PRT","GGDEBT","TOT","PC_GDP","A","2016",144.3118,
"PRT","GGDEBT","TOT","PC_GDP","A","2017",143.1314,
"PRT","GGDEBT","TOT","PC_GDP","A","2018",137.2647,
"PRT","GGDEBT","TOT","PC_GDP","A","2019",135.6317,
"PRT","GGDEBT","TOT","PC_GDP","A","2020",157.1208,
"SVK","GGDEBT","TOT","PC_GDP","A","2016",67.77117,
"SVK","GGDEBT","TOT","PC_GDP","A","2017",65.51965,
"SVK","GGDEBT","TOT","PC_GDP","A","2018",63.33213,
"SVK","GGDEBT","TOT","PC_GDP","A","2019",63.03254,
"SVK","GGDEBT","TOT","PC_GDP","A","2020",78.74482,
"ESP","GGDEBT","TOT","PC_GDP","A","2016",117.3305,
"ESP","GGDEBT","TOT","PC_GDP","A","2017",115.7774,
"ESP","GGDEBT","TOT","PC_GDP","A","2018",114.5979,
"ESP","GGDEBT","TOT","PC_GDP","A","2019",117.7095,
"ESP","GGDEBT","TOT","PC_GDP","A","2020",147.5002,
"SWE","GGDEBT","TOT","PC_GDP","A","2016",61.91961,
"SWE","GGDEBT","TOT","PC_GDP","A","2017",60.09251,
"SWE","GGDEBT","TOT","PC_GDP","A","2018",59.19869,
"SWE","GGDEBT","TOT","PC_GDP","A","2019",55.88184,
"SWE","GGDEBT","TOT","PC_GDP","A","2020",62.88171,
"CHE","GGDEBT","TOT","PC_GDP","A","2016",41.18677,
"CHE","GGDEBT","TOT","PC_GDP","A","2017",41.89757,
"CHE","GGDEBT","TOT","PC_GDP","A","2018",39.75675,
"CHE","GGDEBT","TOT","PC_GDP","A","2019",40.98116,
"CHE","GGDEBT","TOT","PC_GDP","A","2020",43.79662,
"TUR","GGDEBT","TOT","PC_GDP","A","2016",34.35389,
"TUR","GGDEBT","TOT","PC_GDP","A","2017",32.27594,
"TUR","GGDEBT","TOT","PC_GDP","A","2018",32.27837,
"TUR","GGDEBT","TOT","PC_GDP","A","2019",35.18266,
"TUR","GGDEBT","TOT","PC_GDP","A","2020",42.98997,
"GBR","GGDEBT","TOT","PC_GDP","A","2016",123.1698,
"GBR","GGDEBT","TOT","PC_GDP","A","2017",123.9,
"GBR","GGDEBT","TOT","PC_GDP","A","2018",120.3732,
"GBR","GGDEBT","TOT","PC_GDP","A","2019",119.1483,
"GBR","GGDEBT","TOT","PC_GDP","A","2020",154.1318,
"USA","GGDEBT","TOT","PC_GDP","A","2016",138.6864,
"USA","GGDEBT","TOT","PC_GDP","A","2017",135.3957,
"USA","GGDEBT","TOT","PC_GDP","A","2018",137.3338,
"USA","GGDEBT","TOT","PC_GDP","A","2019",135.8913,
"USA","GGDEBT","TOT","PC_GDP","A","2020",161.3746,
"CHL","GGDEBT","TOT","PC_GDP","A","2016",28.09989,
"CHL","GGDEBT","TOT","PC_GDP","A","2017",29.06645,
"CHL","GGDEBT","TOT","PC_GDP","A","2018",31.81245,
"CHL","GGDEBT","TOT","PC_GDP","A","2019",37.77597,
"CHL","GGDEBT","TOT","PC_GDP","A","2020",43.82093,
"EST","GGDEBT","TOT","PC_GDP","A","2016",13.69603,
"EST","GGDEBT","TOT","PC_GDP","A","2017",13.14404,
"EST","GGDEBT","TOT","PC_GDP","A","2018",13.03409,
"EST","GGDEBT","TOT","PC_GDP","A","2019",13.6058,
"EST","GGDEBT","TOT","PC_GDP","A","2020",24.82139,
"ISR","GGDEBT","TOT","PC_GDP","A","2016",75.6786,
"ISR","GGDEBT","TOT","PC_GDP","A","2017",72.2389,
"ISR","GGDEBT","TOT","PC_GDP","A","2018",70.88639,
"ISR","GGDEBT","TOT","PC_GDP","A","2019",73.15871,
"SVN","GGDEBT","TOT","PC_GDP","A","2016",97.20789,
"SVN","GGDEBT","TOT","PC_GDP","A","2017",89.43223,
"SVN","GGDEBT","TOT","PC_GDP","A","2018",83.44844,
"SVN","GGDEBT","TOT","PC_GDP","A","2019",81.34025,
"SVN","GGDEBT","TOT","PC_GDP","A","2020",100.2493,
"LVA","GGDEBT","TOT","PC_GDP","A","2016",50.31883,
"LVA","GGDEBT","TOT","PC_GDP","A","2017",47.64808,
"LVA","GGDEBT","TOT","PC_GDP","A","2018",46.31374,
"LVA","GGDEBT","TOT","PC_GDP","A","2019",47.86506,
"LVA","GGDEBT","TOT","PC_GDP","A","2020",55.62146,
"COL","GGDEBT","TOT","PC_GDP","A","2016",73.09144,
"COL","GGDEBT","TOT","PC_GDP","A","2017",75.18874,
"COL","GGDEBT","TOT","PC_GDP","A","2018",88.96687,
"COL","GGDEBT","TOT","PC_GDP","A","2019",82.77155,
"LTU","GGDEBT","TOT","PC_GDP","A","2016",50.93634,
"LTU","GGDEBT","TOT","PC_GDP","A","2017",47.07026,
"LTU","GGDEBT","TOT","PC_GDP","A","2018",40.82228,
"LTU","GGDEBT","TOT","PC_GDP","A","2019",44.54394,
"LTU","GGDEBT","TOT","PC_GDP","A","2020",55.4529,
"NZL","GGDEBT","TOT","PC_GDP","A","2016",54.44,
"NZL","GGDEBT","TOT","PC_GDP","A","2017",52.96,
"NZL","GGDEBT","TOT","PC_GDP","A","2018",53.05,
"NZL","GGDEBT","TOT","PC_GDP","A","2019",55.33,
"BRA","GGDEBT","TOT","PC_GDP","A","2016",98.44,
"BRA","GGDEBT","TOT","PC_GDP","A","2017",104.21,
"CHN","GGDEBT","TOT","PC_GDP","A","2016",48.24,
"CHN","GGDEBT","TOT","PC_GDP","A","2017",51.73,
"CHN","GGDEBT","TOT","PC_GDP","A","2018",53.85,
"CHN","GGDEBT","TOT","PC_GDP","A","2019",57.05,
"CRI","GGDEBT","TOT","PC_GDP","A","2016",44.05,
"CRI","GGDEBT","TOT","PC_GDP","A","2017",47.06,
"CRI","GGDEBT","TOT","PC_GDP","A","2018",51.91,
"CRI","GGDEBT","TOT","PC_GDP","A","2019",56.84,
"IND","GGDEBT","TOT","PC_GDP","A","2016",68.71,
"IND","GGDEBT","TOT","PC_GDP","A","2017",69.46,
"IND","GGDEBT","TOT","PC_GDP","A","2018",70.24,
"IND","GGDEBT","TOT","PC_GDP","A","2019",73.89,
"IND","GGDEBT","TOT","PC_GDP","A","2020",89.56,
"IDN","GGDEBT","TOT","PC_GDP","A","2016",27.96,
"IDN","GGDEBT","TOT","PC_GDP","A","2017",29.4,
"IDN","GGDEBT","TOT","PC_GDP","A","2018",30.42,
"IDN","GGDEBT","TOT","PC_GDP","A","2019",30.56,
"IDN","GGDEBT","TOT","PC_GDP","A","2020",36.62,
"ROU","GGDEBT","TOT","PC_GDP","A","2016",48.28,
"ROU","GGDEBT","TOT","PC_GDP","A","2017",45.05,
"ROU","GGDEBT","TOT","PC_GDP","A","2018",43.61,
"ROU","GGDEBT","TOT","PC_GDP","A","2019",44.36,
"ROU","GGDEBT","TOT","PC_GDP","A","2020",59.25,
"RUS","GGDEBT","TOT","PC_GDP","A","2016",18.56,
"RUS","GGDEBT","TOT","PC_GDP","A","2017",21.55,
"RUS","GGDEBT","TOT","PC_GDP","A","2018",20.81,
"RUS","GGDEBT","TOT","PC_GDP","A","2019",21.67,
"ZAF","GGDEBT","TOT","PC_GDP","A","2016",51.47,
"ZAF","GGDEBT","TOT","PC_GDP","A","2017",53.02,
"ZAF","GGDEBT","TOT","PC_GDP","A","2018",56.71,
"ZAF","GGDEBT","TOT","PC_GDP","A","2019",62.15,
"ZAF","GGDEBT","TOT","PC_GDP","A","2020",77.06,
"OAVG","GGDEBT","TOT","PC_GDP","A","2016",83.68,
"OAVG","GGDEBT","TOT","PC_GDP","A","2017",81.14,
"OAVG","GGDEBT","TOT","PC_GDP","A","2018",79.36,
"OAVG","GGDEBT","TOT","PC_GDP","A","2019",79.85,
"OECD","GGDEBT","TOT","PC_GDP","A","2016",111.2,
"OECD","GGDEBT","TOT","PC_GDP","A","2017",109,
"OECD","GGDEBT","TOT","PC_GDP","A","2018",108.17,
"OECD","GGDEBT","TOT","PC_GDP","A","2019",109.21,
